emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
it manager,7.0,ID,MORTGAGE,80000.0,Verified,37.61,,,,0,30.0,2002,2,26,15,431315,117722,0,0,,0,163,4,10,6.0,15,0.0,0,5,39600,13,10,8,2,92.0,0,0,other,individual,6000,36,10.41,194.77,B,B3,Mar-2018,Current,whole,DirectPay,5713.32,386.07,286.68,99.39,0.0
engineer,10.0,CO,OWN,92000.0,Source Verified,26.56,144000.0,Source Verified,19.11,2,12.0,2000,3,12,9,222761,70952,0,0,16.0,0,0,5,3,1.0,9,0.0,0,2,8400,4,3,2,1,100.0,0,0,credit_card,joint,7000,36,13.59,237.86,C,C2,Jan-2018,Late (16-30 days),whole,Cash,5894.78,1382.95,1105.22,277.73,0.0
cytotechnologist,10.0,FL,MORTGAGE,83000.0,Verified,16.98,,,,0,,2001,5,20,11,156200,24254,0,0,,0,0,1,7,1.0,11,,0,9,116200,14,10,8,2,100.0,0,0,house,individual,35000,36,30.94,1503.89,G,G4,Mar-2018,Late (16-30 days),whole,Cash,34398.52,1834.78,601.48,1233.3,0.0
vp,1.0,CA,OWN,185000.0,Verified,23.77,,,,0,,1992,3,31,15,612835,118058,0,0,,0,0,4,5,2.0,15,,0,3,32000,17,9,9,3,100.0,0,0,debt_consolidation,individual,35000,60,18.06,889.92,D,D2,Jan-2018,In Grace Period,whole,Cash,33514.2,3524.56,1485.8,2038.76,0.0
police officer,10.0,MO,OWN,50000.0,Source Verified,38.33,,,,0,,2007,1,19,9,144916,26746,0,0,,0,0,3,1,0.0,9,0.0,0,3,20200,11,5,4,2,100.0,0,0,home_improvement,individual,8400,36,13.58,285.39,C,C2,Mar-2018,Current,whole,Cash,7822.52,843.5,577.48,266.02,0.0
clinical lab scientist,2.0,CA,MORTGAGE,150000.0,Not Verified,9.7,,,,1,21.0,1996,4,37,21,556495,83987,0,0,,0,0,3,13,6.0,21,0.0,0,1,44800,24,17,5,2,97.3,0,0,debt_consolidation,individual,5000,36,7.97,156.62,A,A5,Feb-2018,Current,whole,Cash,4501.41,624.27,498.59,125.68,0.0
engineer,10.0,WI,MORTGAGE,70000.0,Verified,17.38,,,,0,24.0,2003,4,31,5,44548,39641,0,1,,0,0,3,4,3.0,5,0.0,0,0,0,9,2,2,4,96.8,0,1,debt_consolidation,individual,10500,60,20.39,280.47,D,D4,Feb-2018,Current,whole,Cash,10188.6,829.52,311.4,518.12,0.0
machine operator,10.0,NY,RENT,70000.0,Not Verified,9.43,,,,1,23.0,2004,1,27,11,25575,8252,0,0,49.0,0,0,1,4,6.0,11,0.0,0,3,8600,23,10,6,0,77.8,0,0,other,individual,5000,36,11.99,166.05,B,B5,Jan-2018,Current,whole,Cash,4407.83,823.59,592.17,231.42,0.0
stocker,10.0,PA,MORTGAGE,34451.0,Verified,13.24,,,,0,,2000,0,10,5,92828,14097,0,0,,0,0,1,1,,5,0.0,0,2,10500,6,3,3,3,100.0,0,0,debt_consolidation,individual,10000,60,16.01,243.24,C,C5,Mar-2018,Current,whole,Cash,9666.11,711.93,333.89,378.04,0.0
human resources assistant,2.0,CA,RENT,42000.0,Source Verified,1.63,,,,1,10.0,2005,0,9,4,8527,1734,0,0,10.0,0,0,0,2,14.0,4,0.0,0,2,4900,5,3,3,0,77.8,0,0,other,individual,24000,36,10.42,779.16,B,B3,Jan-2018,Current,whole,Cash,21096.21,3881.91,2903.79,978.12,0.0
sr manager,7.0,TX,MORTGAGE,155000.0,Source Verified,10.91,,,,1,7.0,1999,4,44,13,518388,72076,0,0,,0,0,2,10,1.0,13,0.0,0,6,57300,31,10,10,7,93.0,0,0,debt_consolidation,individual,10000,36,12.62,335.12,C,C1,Feb-2018,Current,whole,Cash,9067.14,1350.23,932.86,400.61,16.76
lpn,3.0,OH,MORTGAGE,45000.0,Verified,30.93,,,,0,,2006,1,18,11,83242,46284,0,0,,0,0,1,7,12.0,11,0.0,0,3,52000,15,10,4,0,100.0,0,0,debt_consolidation,individual,30000,60,26.77,911.95,E,E5,Mar-2018,Fully Paid,fractional,Cash,0.0,31573.0061491506,30000.0,1573.01,0.0
,,OH,MORTGAGE,68000.0,Source Verified,16.54,,,,0,75.0,1994,2,16,8,55050,52436,0,0,75.0,0,0,5,2,9.0,8,0.0,0,1,2000,7,3,2,0,93.8,0,0,debt_consolidation,individual,2000,36,25.82,80.39,E,E4,Jan-2018,Current,fractional,Cash,1805.0,396.21,195.0,201.21,0.0
assistant director of events,2.0,FL,RENT,107000.0,Verified,27.58,,,,0,32.0,2001,11,28,12,139413,111027,0,0,32.0,0,0,3,6,4.0,12,0.0,0,3,22300,15,8,3,1,96.3,0,0,credit_card,individual,16300,60,25.82,486.3,E,E4,Jan-2018,Current,whole,Cash,15592.3,2384.74,707.7,1677.04,0.0
rn,10.0,VA,MORTGAGE,70000.0,Verified,30.4,,,,0,28.0,1989,2,22,10,326085,77059,0,0,,0,0,1,1,6.0,10,0.0,0,5,41600,10,7,6,4,95.2,0,0,debt_consolidation,individual,15000,36,11.98,498.08,B,B5,Feb-2018,Current,whole,Cash,13944.54,1484.26,1055.46,428.8,0.0
pta,0.0,TX,MORTGAGE,70000.0,Source Verified,45.95,135000.0,Source Verified,26.75,0,,2010,3,27,13,443845,188345,0,0,,0,0,7,15,4.0,13,0.0,0,2,8800,7,5,3,2,100.0,0,0,debt_consolidation,joint,8000,36,18.45,291.03,D,D2,Mar-2018,Current,fractional,Cash,7661.36,565.66,338.64,227.02,0.0
owner,0.0,CT,OWN,50000.0,Source Verified,0.84,,,,0,,2005,7,13,7,6200,923,0,1,,0,0,0,4,1.0,7,0.0,0,1,4300,12,7,1,0,90.0,0,1,other,individual,20000,36,17.47,717.75,D,D1,Mar-2018,Current,whole,Cash,18701.53,2114.43,1298.47,815.96,0.0
maintenance tech,5.0,MS,MORTGAGE,65000.0,Source Verified,15.71,,,,1,11.0,1996,2,34,12,154902,20095,0,0,56.0,0,10387,2,4,10.0,12,0.0,0,4,12100,11,9,5,2,88.2,0,0,small_business,individual,30000,36,14.08,1026.5,C,C3,Jan-2018,Current,whole,Cash,26547.42,5085.57,3452.58,1632.99,0.0
accountant,3.0,OR,MORTGAGE,85000.0,Not Verified,14.98,,,,0,,1994,4,25,16,393677,28650,0,1,,0,0,3,10,5.0,16,0.0,0,5,10100,14,12,9,3,100.0,0,1,home_improvement,individual,10000,36,16.02,351.67,C,C5,Jan-2018,Current,whole,Cash,8879.63,1740.55,1120.37,620.18,0.0
,,FL,RENT,40000.0,Source Verified,33.99,111000.0,Source Verified,21.84,0,,2003,3,41,22,82849,59566,0,1,,0,437,9,3,1.0,22,0.0,0,2,10500,24,13,3,0,100.0,0,1,debt_consolidation,joint,25600,60,19.03,664.51,D,D3,Jan-2018,Current,whole,Cash,24265.66,3295.49,1334.34,1961.15,0.0
manager,8.0,NC,MORTGAGE,57000.0,Verified,19.16,,,,0,,2003,0,10,9,272974,37066,0,1,,0,0,2,6,13.0,9,0.0,0,4,27700,6,6,4,1,100.0,0,1,debt_consolidation,individual,7000,36,19.42,258.09,D,D3,Mar-2018,Current,whole,Cash,6708.04,501.08,291.96,209.12,0.0
sales executive,6.0,CA,MORTGAGE,42000.0,Source Verified,33.86,,,,0,61.0,2006,2,22,15,64385,31160,0,1,,0,0,3,12,12.0,15,0.0,0,7,22500,12,12,10,0,95.5,1,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Feb-2018,Current,whole,Cash,10851.41,1562.17,1148.59,413.58,0.0
director of finance,4.0,VA,OWN,125000.0,Verified,16.2,,,,1,11.0,1998,3,27,4,93926,63019,0,0,73.0,0,0,2,8,2.0,4,0.0,0,0,2500,15,1,0,2,88.5,0,0,debt_consolidation,individual,30000,60,26.3,903.55,E,E5,Jan-2018,Fully Paid,whole,Cash,0.0,31004.3951829172,30000.0,1004.4,0.0
operations manager,5.0,CA,RENT,85000.0,Not Verified,10.39,,,,1,14.0,1986,0,41,14,63178,24320,0,0,,0,0,8,3,14.0,14,0.0,0,2,26600,14,6,2,0,92.7,0,0,credit_card,individual,8000,36,6.07,243.63,A,A2,Mar-2018,Current,whole,Cash,7387.42,728.19,612.58,115.61,0.0
loan assistant,1.0,MO,MORTGAGE,23000.0,Verified,39.72,93000.0,Source Verified,20.48,0,,2005,1,35,12,76145,36998,0,0,,0,0,2,4,7.0,12,0.0,0,1,8000,19,10,3,2,100.0,0,0,debt_consolidation,joint,21500,36,6.72,661.11,A,A3,Feb-2018,Current,whole,Cash,19217.23,2728.39,2282.77,445.62,0.0
customer service rep,2.0,FL,RENT,40000.0,Source Verified,16.17,87000.0,Source Verified,24.73,1,23.0,2014,0,6,5,26820,15599,0,0,,0,0,2,3,,5,0.0,0,1,3500,3,3,2,0,100.0,0,0,debt_consolidation,joint,15000,60,19.42,392.59,D,D3,Mar-2018,Current,whole,Cash,14544.15,1145.4,455.85,689.55,0.0
,,KS,RENT,13692.0,Verified,24.63,,,,1,16.0,2007,5,7,3,80248,11641,0,0,36.0,0,130,1,2,0.0,3,0.0,0,1,3500,2,1,1,1,71.4,0,0,other,individual,3000,36,17.47,107.67,D,D1,Mar-2018,Current,whole,Cash,2805.2,320.11,194.8,125.31,0.0
director of food & nutrition ,4.0,IN,MORTGAGE,90000.0,Source Verified,11.31,90000.0,Not Verified,17.48,0,,2011,1,11,6,246413,34948,0,1,,0,81,2,3,1.0,6,0.0,0,2,4500,3,3,3,1,100.0,0,1,debt_consolidation,joint,20000,60,21.45,546.15,D,D5,Feb-2018,Current,whole,Cash,19224.93,2125.02,775.07,1349.95,0.0
security officer,3.0,NY,OWN,48028.0,Source Verified,26.79,,,,0,55.0,1992,0,22,9,52426,36883,0,0,,0,0,3,3,,9,0.0,0,4,8400,16,6,6,2,86.4,0,0,debt_consolidation,individual,20000,60,17.47,502.12,D,D1,Mar-2018,Current,whole,Cash,19357.88,1467.54,642.12,825.42,0.0
crr,0.0,CO,RENT,38400.0,Source Verified,12.13,,,,0,,2011,0,14,9,21521,9627,0,1,,0,0,0,3,,9,0.0,0,3,12000,11,8,5,0,100.0,0,1,debt_consolidation,individual,10000,60,15.05,238.17,C,C4,Feb-2018,Current,whole,Cash,9540.43,952.45,459.57,492.88,0.0
sr computer repair,10.0,OH,MORTGAGE,29000.0,Verified,25.21,80000.0,Verified,27.28,0,,2003,1,11,6,125262,33810,0,0,,0,0,1,2,6.0,6,0.0,0,2,11500,5,4,3,2,100.0,0,0,debt_consolidation,joint,40000,60,30.79,1313.62,G,G1,Feb-2018,Current,whole,Cash,39115.84,3872.44,884.16,2988.28,0.0
child protective specialist ,3.0,NY,RENT,77000.0,Not Verified,18.15,,,,5,13.0,2004,4,28,11,63788,60055,0,0,53.0,0,0,7,3,6.0,11,0.0,0,2,5300,17,4,4,0,76.0,0,0,small_business,individual,1000,36,11.98,33.21,B,B5,Feb-2018,Current,whole,Cash,905.69,132.17,94.31,37.86,0.0
,,NY,RENT,41000.0,Verified,41.5,93000.0,Verified,22.88,0,37.0,1999,0,26,16,88973,75562,0,0,37.0,0,2370,3,3,13.0,16,0.0,0,3,3400,20,13,5,0,80.8,0,0,other,joint,11200,36,15.05,388.53,C,C4,Feb-2018,Current,whole,Cash,10188.92,1535.39,1011.08,524.31,0.0
mall security supervisor,6.0,AZ,RENT,25000.0,Source Verified,17.71,,,,0,60.0,2010,0,11,5,28352,13094,0,0,,0,0,2,6,20.0,5,0.0,0,1,17500,9,3,1,0,90.9,0,0,other,individual,10000,60,15.05,238.17,C,C4,Feb-2018,Current,whole,Cash,9540.43,944.32,459.57,484.75,0.0
doctor of chiropractic,10.0,IL,OWN,134000.0,Verified,31.11,,,,0,,1991,5,39,27,594687,129316,0,2,,0,0,1,11,0.0,27,0.0,0,13,105300,27,25,18,3,100.0,2,0,credit_card,individual,18000,36,16.01,632.92,C,C5,Mar-2018,Current,fractional,Cash,16805.89,1966.24,1194.11,772.13,0.0
owner/stylist,10.0,CA,RENT,72000.0,Not Verified,15.77,,,,1,13.0,1991,2,30,13,92260,28630,0,0,,0,0,0,6,3.0,13,0.0,0,6,79700,19,12,7,6,96.7,0,0,debt_consolidation,individual,28000,60,21.45,764.6,D,D5,Feb-2018,Current,whole,Cash,26914.94,3025.03,1085.06,1939.97,0.0
administrative assistant,4.0,NY,RENT,35000.0,Not Verified,14.85,,,,0,59.0,2005,1,22,8,62188,56484,0,0,59.0,0,0,3,4,9.0,8,0.0,0,3,9300,6,5,4,0,50.0,0,0,debt_consolidation,individual,4000,36,16.02,140.67,C,C5,Jan-2018,Current,whole,Cash,3551.84,699.79,448.16,251.63,0.0
rn,10.0,LA,MORTGAGE,50000.0,Verified,29.28,,,,1,43.0,1977,3,36,9,287168,57649,0,0,16.0,0,2682,4,5,1.0,9,,0,3,52900,22,4,4,1,86.0,0,0,debt_consolidation,individual,11800,60,16.02,287.08,C,C5,Jan-2018,Current,whole,Cash,11129.56,1446.74,670.44,761.3,15.0
dir of admin & bldg services,2.0,IN,RENT,36500.0,Verified,30.55,,,,0,,1998,1,23,7,42891,23865,0,0,,0,0,1,2,12.0,7,0.0,0,3,18500,6,5,4,0,100.0,0,0,other,individual,12000,60,26.3,361.42,E,E5,Feb-2018,Current,whole,Cash,11594.16,1428.15,405.84,1022.31,0.0
sys administrator advisor,10.0,FL,MORTGAGE,117000.0,Not Verified,27.86,160000.0,Not Verified,27.97,0,,1988,2,35,19,168793,102874,0,0,,0,0,5,4,1.0,19,0.0,0,7,21000,20,12,10,2,100.0,0,0,debt_consolidation,joint,14000,60,20.39,373.96,D,D4,Mar-2018,Current,whole,Cash,13584.79,1010.87,415.21,595.66,0.0
admin/manager,5.0,OH,MORTGAGE,40000.0,Verified,73.75,220000.0,Not Verified,23.55,0,,2004,2,18,12,117274,60745,0,1,,0,0,3,1,2.0,12,0.0,0,4,20200,10,9,6,1,100.0,0,1,debt_consolidation,joint,20000,36,9.44,640.1,B,B1,Feb-2018,Current,whole,Cash,18046.03,2549.91,1953.97,595.94,0.0
supervisor,10.0,PA,RENT,67000.0,Source Verified,13.29,,,,0,,2007,0,15,8,37700,22308,1,0,,0,284,1,2,,8,0.0,0,3,19700,8,6,3,0,100.0,0,0,debt_consolidation,individual,35000,36,15.05,1214.15,C,C4,Jan-2018,Current,whole,Cash,31025.59,6012.22,3974.41,2037.81,0.0
sushi chef,7.0,AZ,OWN,37183.56,Source Verified,18.24,95797.96,Not Verified,22.17,0,,1998,2,14,7,54946,21231,0,0,,0,0,2,2,0.0,7,0.0,0,3,37400,9,5,4,0,100.0,0,0,debt_consolidation,joint,27500,60,15.05,654.95,C,C4,Jan-2018,Late (31-120 days),whole,Cash,26561.27,1907.37,938.73,968.64,0.0
branch administrator,10.0,MD,MORTGAGE,72768.0,Verified,24.46,,,,0,62.0,2008,2,34,18,220081,36196,0,1,62.0,0,0,5,6,11.0,18,0.0,0,9,9300,14,12,12,1,97.1,0,1,other,individual,4000,36,17.47,143.55,D,D1,Mar-2018,Current,fractional,Cash,3828.12,279.34,171.88,107.46,0.0
criminal history,0.0,TN,RENT,19000.0,Source Verified,0.0,,,,0,,2011,4,9,9,40350,31377,0,0,,0,0,7,5,0.0,9,0.0,0,0,7500,2,2,0,0,100.0,0,0,other,individual,1500,36,18.45,54.57,D,D2,Mar-2018,Current,fractional,Cash,1436.5,107.6,63.5,44.1,0.0
senior maintenance,1.0,MD,MORTGAGE,42000.0,Verified,7.54,,,,0,,2009,7,10,6,17100,5892,0,0,,0,0,1,3,1.0,6,0.0,0,1,1800,8,5,2,0,100.0,0,0,debt_consolidation,individual,24000,60,15.04,571.47,C,C4,Mar-2018,Current,whole,Cash,23178.69,1674.3,821.31,852.99,0.0
loan officer/asst vice president,10.0,MS,MORTGAGE,45000.0,Verified,16.56,,,,0,67.0,1992,2,13,6,193014,19041,0,0,67.0,0,0,3,7,4.0,6,0.0,0,2,1700,7,2,2,2,61.5,0,0,other,individual,8000,36,18.06,289.47,D,D2,Jan-2018,Current,whole,Cash,7128.82,1458.02,871.18,586.84,0.0
owners,10.0,TX,MORTGAGE,48000.0,Not Verified,17.44,,,,2,19.0,1990,2,30,13,145545,8266,0,0,57.0,0,7222,2,4,2.0,13,0.0,0,6,12000,17,10,9,2,79.3,0,0,debt_consolidation,individual,10000,36,10.91,326.97,B,B4,Feb-2018,Current,whole,Cash,9042.83,1301.82,957.17,344.65,0.0
assistant state attorney,10.0,FL,MORTGAGE,99000.0,Verified,15.65,,,,1,30.0,1990,1,24,9,373444,37917,1,0,2.0,0,55,1,2,11.0,9,,0,4,32400,10,6,5,5,88.0,0,0,debt_consolidation,individual,20000,60,12.61,451.08,C,C1,Mar-2018,Current,whole,Cash,19269.64,1325.22,730.36,594.86,0.0
maintenance,1.0,CO,MORTGAGE,78000.0,Not Verified,3.15,,,,0,,2013,3,8,6,6900,6037,0,0,,0,0,0,0,1.0,6,,0,4,5000,6,6,5,0,100.0,0,0,credit_card,individual,18000,36,19.42,663.64,D,D3,Mar-2018,Current,whole,Cash,16864.81,1971.5,1135.19,836.31,0.0
teacher and retired administrator,10.0,VA,MORTGAGE,100000.0,Source Verified,23.2,,,,2,9.0,2001,0,27,17,265261,77758,0,0,,0,0,2,2,,17,0.0,0,5,37900,18,14,9,2,84.6,0,0,debt_consolidation,individual,30000,36,20.39,1120.88,D,D4,Mar-2018,Current,whole,Cash,28135.28,3294.67,1864.72,1429.95,0.0
,,AR,MORTGAGE,65000.0,Not Verified,32.96,,,,0,,2009,2,19,17,344593,57334,0,1,,0,0,3,7,7.0,17,0.0,0,7,59200,14,13,9,1,100.0,0,1,credit_card,individual,20000,36,18.45,727.58,D,D2,Mar-2018,Current,whole,Cash,18720.28,2141.74,1279.72,862.02,0.0
account manager,8.0,KS,RENT,67000.0,Not Verified,11.05,,,,0,,2004,2,29,13,56000,19860,0,0,,0,0,1,6,10.0,13,0.0,0,4,34400,22,12,5,0,100.0,0,0,debt_consolidation,individual,16000,60,16.02,389.26,C,C5,Jan-2018,Current,whole,Cash,15097.93,1896.46,902.07,994.39,0.0
estimating manager,1.0,FL,MORTGAGE,85000.0,Source Verified,28.23,,,,1,21.0,1999,0,20,11,287381,52201,0,0,21.0,0,0,2,0,,11,0.0,0,6,39900,11,8,8,4,95.0,0,0,debt_consolidation,individual,12800,60,15.04,304.78,C,C4,Mar-2018,Current,whole,Cash,12361.49,903.64,438.51,465.13,0.0
maintenance worker ii,10.0,WA,RENT,68000.0,Verified,19.94,,,,0,37.0,2003,0,23,7,67500,48135,0,0,37.0,0,0,2,2,13.0,7,0.0,0,1,12200,8,5,2,3,87.0,0,0,home_improvement,individual,30000,60,25.81,894.85,E,E4,Mar-2018,Current,fractional,Cash,29234.98,2641.53,765.02,1876.51,0.0
international operations manager,10.0,GA,MORTGAGE,188000.0,Not Verified,15.36,,,,2,2.0,1994,5,40,18,513320,113937,0,0,,0,0,4,10,3.0,18,0.0,0,6,52500,19,12,8,7,95.0,0,0,debt_consolidation,individual,35000,60,16.01,851.32,C,C5,Feb-2018,Current,whole,Cash,33431.51,3374.15,1568.49,1805.66,0.0
guidance counselor,4.0,MD,RENT,52537.0,Not Verified,10.87,,,,0,,2008,1,15,12,97250,76057,0,0,,0,1442,8,2,0.0,12,0.0,0,1,16100,6,4,1,0,100.0,0,0,credit_card,individual,7000,36,15.05,242.83,C,C4,Jan-2018,Current,whole,Cash,6045.93,1358.3,954.07,404.23,0.0
quality assurance,8.0,PA,OWN,32000.0,Source Verified,35.75,,,,0,71.0,2009,9,9,4,61776,53252,0,0,71.0,0,0,2,1,7.0,4,0.0,0,1,13500,2,2,1,0,77.8,0,0,debt_consolidation,individual,15000,60,20.39,400.68,D,D4,Mar-2018,Current,whole,Cash,14705.91,784.37,294.09,490.28,0.0
customer service rep,9.0,IL,MORTGAGE,28000.0,Verified,43.38,100500.0,Verified,22.1,0,,2005,4,19,10,205026,34660,0,1,,0,0,3,4,4.0,10,0.0,0,3,20500,5,5,5,4,100.0,0,1,credit_card,joint,30000,60,16.01,729.71,C,C5,Mar-2018,Current,whole,Cash,29336.68,1432.74,663.32,769.42,0.0
loan officer ,2.0,AZ,RENT,37500.0,Not Verified,12.71,,,,1,15.0,2012,1,16,9,32950,12109,0,0,,0,0,1,3,4.0,9,0.0,0,4,12000,10,8,7,2,100.0,0,0,credit_card,individual,3100,36,12.61,103.87,C,C1,Mar-2018,Current,whole,Cash,2883.86,309.44,216.14,93.3,0.0
office administrator,9.0,CA,OWN,47611.2,Verified,20.09,,,,0,,2002,0,17,12,51014,42264,0,0,,0,0,2,4,14.0,12,0.0,0,6,26000,13,10,8,0,100.0,0,0,debt_consolidation,individual,11200,60,20.39,299.17,D,D4,Mar-2018,Current,whole,Cash,10867.83,884.82,332.17,552.65,0.0
logistics,10.0,FL,MORTGAGE,89000.0,Not Verified,16.53,,,,1,22.0,1993,1,15,5,70047,52626,0,0,22.0,0,0,2,2,10.0,5,0.0,0,2,5800,3,3,2,2,73.3,0,0,debt_consolidation,individual,10000,60,20.39,267.12,D,D4,Feb-2018,Current,whole,Cash,9601.16,1045.82,398.84,646.98,0.0
production associate,2.0,AZ,RENT,42000.0,Source Verified,38.2,,,,0,,1997,0,9,6,61475,43053,0,0,,0,0,1,0,23.0,6,0.0,0,2,28000,5,5,4,2,100.0,0,0,debt_consolidation,individual,10000,60,17.09,249.01,D,D1,Jan-2018,Current,whole,Cash,9451.63,1226.06,548.37,677.69,0.0
billing clerk,2.0,TX,OWN,32000.0,Not Verified,33.05,,,,0,,1996,3,49,24,62900,18973,0,0,,0,264,1,5,1.0,24,0.0,0,10,31300,45,23,14,0,100.0,0,0,debt_consolidation,individual,15000,36,7.96,469.77,A,A5,Feb-2018,Current,whole,Cash,13881.81,1402.68,1118.19,284.49,0.0
shop manager,3.0,SC,MORTGAGE,45000.0,Source Verified,25.22,,,,1,21.0,2000,0,21,9,233215,30879,0,0,22.0,0,0,1,2,17.0,9,0.0,0,2,17500,17,7,2,1,61.9,0,0,debt_consolidation,individual,15000,36,11.99,498.15,B,B5,Jan-2018,Current,whole,DirectPay,13225.26,2542.22,1774.74,767.48,0.0
teacher ,3.0,CT,OWN,62000.0,Verified,11.79,,,,0,34.0,2010,16,17,12,310682,77257,0,0,34.0,0,0,2,6,5.0,12,0.0,0,2,12300,11,8,4,2,94.1,0,0,debt_consolidation,individual,20000,36,18.06,723.66,D,D2,Jan-2018,Current,whole,Cash,17822.13,3578.17,2177.87,1400.3,0.0
maintenance hvac tech,3.0,MD,RENT,46000.0,Source Verified,19.43,,,,0,78.0,2007,7,6,4,34861,23323,0,0,,0,1270,2,3,0.0,4,0.0,0,0,2000,2,2,1,0,83.3,0,0,other,individual,7000,36,15.05,242.83,C,C4,Jan-2018,Current,fractional,Cash,6205.12,1208.3,794.88,413.42,0.0
,,NY,MORTGAGE,42000.0,Source Verified,26.2,,,,0,,2003,2,21,16,43700,23812,0,0,,0,0,1,3,0.0,16,0.0,0,14,36400,18,15,15,0,100.0,0,0,vacation,individual,4900,36,18.06,177.3,D,D2,Feb-2018,Current,whole,Cash,4476.33,699.37,423.67,275.7,0.0
selector,1.0,FL,RENT,51000.0,Not Verified,25.95,,,,0,24.0,2005,9,23,11,83168,52765,0,0,,0,9669,5,6,2.0,11,0.0,0,3,4900,8,6,5,0,90.9,0,0,debt_consolidation,individual,10000,36,21.45,379.07,D,D5,Feb-2018,Current,whole,Cash,9176.98,1504.36,823.02,681.34,0.0
compliance assurance manager,2.0,MA,RENT,104660.0,Source Verified,29.41,,,,0,,2003,0,27,13,133120,122126,0,0,,0,0,3,8,,13,0.0,0,6,23400,12,10,9,0,100.0,0,0,debt_consolidation,individual,35000,60,20.0,927.29,D,D4,Jan-2018,Current,whole,Cash,33221.93,4558.67,1778.07,2780.6,0.0
registered urse,10.0,NY,RENT,130000.0,Verified,36.58,,,,0,,2000,0,20,10,192256,123882,0,0,,0,0,2,3,,10,0.0,0,6,99600,14,6,6,0,100.0,0,0,debt_consolidation,individual,34450,36,13.59,1170.58,C,C2,Feb-2018,Current,whole,Cash,31274.83,4656.31,3175.17,1481.14,0.0
executive director,3.0,TX,MORTGAGE,114000.0,Not Verified,17.8,,,,0,41.0,2007,2,19,8,248571,78033,0,0,74.0,0,0,2,4,10.0,8,0.0,0,2,9400,6,5,5,1,89.5,0,0,debt_consolidation,individual,16000,36,16.02,562.68,C,C5,Feb-2018,Current,whole,Cash,14575.47,2236.48,1424.53,811.95,0.0
accounts receivable,7.0,CA,RENT,65000.0,Verified,43.36,115000.0,Source Verified,31.63,0,,2002,0,38,17,110322,65084,0,0,,0,0,4,5,,17,0.0,0,6,31100,32,13,10,0,100.0,0,0,debt_consolidation,joint,12000,36,20.0,445.97,D,D4,Mar-2018,Current,whole,Cash,11249.72,1311.24,750.28,560.96,0.0
lcdr,10.0,FL,RENT,110000.0,Not Verified,38.82,,,,0,,2004,1,59,21,370117,181821,0,0,,0,0,16,6,7.0,21,0.0,0,2,33400,10,4,4,4,100.0,0,0,credit_card,individual,6000,36,12.62,201.07,C,C1,Jan-2018,Current,whole,Cash,5439.35,831.62,560.65,270.97,0.0
supervisor,10.0,NV,OWN,71000.0,Source Verified,2.2,,,,0,,2009,4,12,10,248635,8507,0,0,,0,0,0,9,1.0,10,0.0,0,1,45200,9,9,2,1,100.0,0,0,other,individual,5000,36,15.04,173.43,C,C4,Mar-2018,Current,fractional,Cash,4663.53,516.11,336.47,179.64,0.0
sonographer ,10.0,TX,MORTGAGE,60000.0,Verified,11.68,100000.0,Verified,10.45,0,52.0,2000,0,26,11,77640,17763,0,0,,0,0,0,3,,11,0.0,0,3,10000,19,10,8,3,96.2,0,0,debt_consolidation,joint,26000,60,29.69,836.25,F,F2,Mar-2018,Current,whole,Cash,25406.66,2422.98,593.34,1829.64,0.0
sales,8.0,MI,OWN,43000.0,Source Verified,16.12,,,,1,18.0,1998,11,20,10,140309,21978,0,0,60.0,0,1413,0,7,0.0,10,0.0,0,3,14400,15,8,6,3,65.0,0,0,other,individual,8000,36,11.98,265.64,B,B5,Mar-2018,Current,whole,Cash,7173.35,970.63,826.65,143.98,0.0
senior trainer ,7.0,TX,MORTGAGE,62300.0,Verified,34.11,,,,0,,2010,1,20,16,346418,67280,0,0,,0,0,3,6,12.0,16,0.0,0,6,76200,13,11,7,1,100.0,0,0,debt_consolidation,individual,20325,36,18.06,735.41,D,D2,Feb-2018,Current,whole,Cash,18567.75,2921.25,1757.25,1164.0,0.0
,,OR,RENT,9000.0,Verified,6.93,,,,0,,2010,3,9,5,61066,67119,0,0,,0,0,2,3,0.0,5,0.0,0,1,2000,3,3,2,0,100.0,0,0,debt_consolidation,individual,5000,36,16.02,175.84,C,C5,Jan-2018,Current,whole,Cash,4439.79,859.18,560.21,298.97,0.0
