earliest_credit_line,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,months_since_last_credit_inquiry
2003,14,6,71427,34750,
2006,24,13,518468,59611,8.0
1994,12,8,205944,17575,16.0
2001,31,16,274750,79336,4.0
1998,26,15,92800,68804,
2001,13,7,59571,50759,15.0
2006,14,8,222200,24722,15.0
2004,17,10,224858,49497,0.0
2001,49,17,191812,188739,3.0
1995,14,7,104106,91377,0.0
2006,44,25,358253,236500,11.0
2001,12,6,17357,6605,4.0
2010,27,13,54161,38531,15.0
2007,31,21,203513,79020,2.0
1986,54,18,963320,113772,14.0
1999,15,8,85253,9753,15.0
1971,28,18,103500,42046,16.0
2010,13,9,21300,9768,15.0
2004,13,5,132763,15751,
2006,19,9,86270,34866,
2000,49,16,470933,298774,1.0
1994,19,6,76496,38493,4.0
1990,26,9,358028,96231,10.0
2014,14,14,44512,15541,3.0
1994,38,27,456938,103750,6.0
2003,30,16,58566,36193,0.0
1989,6,3,2500,752,0.0
1997,9,4,211439,29457,
2000,24,12,295050,72409,1.0
2006,15,7,225023,27073,3.0
2006,38,15,249221,48371,4.0
2006,38,24,425809,18935,8.0
2006,19,10,149128,136828,6.0
1996,24,14,58351,41537,
2010,43,34,156212,48810,5.0
2001,14,10,231738,34318,7.0
2010,11,6,53094,33419,3.0
1994,13,7,49200,33055,
1989,15,8,190829,12477,0.0
2013,4,3,18269,16147,
2006,28,18,40893,24857,6.0
2010,14,11,70685,32562,
1999,11,8,16468,7540,2.0
1999,28,13,407664,84911,0.0
2001,45,13,591015,176029,10.0
1981,21,10,414424,111351,5.0
2004,22,9,351941,17045,24.0
2001,20,12,643718,44724,8.0
1995,38,23,104547,56488,8.0
2006,7,7,67239,25109,17.0
1999,32,17,91317,39966,
1998,28,17,257186,160756,1.0
1988,57,27,412469,126970,1.0
2001,8,3,154909,1208,21.0
2007,13,8,198325,29216,8.0
2004,21,7,79288,62901,3.0
2001,9,5,191883,32768,13.0
2000,13,5,361146,12112,0.0
2003,13,6,22900,13423,
2005,51,23,174569,35844,3.0
1988,59,22,225181,75526,4.0
1999,20,11,39350,17861,3.0
2003,15,6,95184,14687,4.0
2010,23,19,30700,8904,5.0
2007,32,9,102619,44208,6.0
1988,25,12,258116,58174,4.0
1990,16,5,29800,1488,13.0
2005,7,3,60921,63440,9.0
1990,34,18,608772,83064,0.0
1996,26,12,47908,38680,5.0
1994,33,13,307572,58906,6.0
2007,15,7,60904,23947,3.0
2011,9,6,69601,42986,5.0
2001,18,7,355224,37389,8.0
1994,21,8,156968,42762,
2008,12,3,19547,11082,17.0
2007,14,11,50454,36135,1.0
2009,23,9,36300,12709,11.0
1985,30,10,165300,108768,7.0
1999,23,13,374282,82939,6.0
2007,9,7,22350,9894,2.0
2005,26,15,47783,38054,9.0
2000,11,3,25883,13730,7.0
1999,22,7,83675,99875,
1993,38,25,473535,118633,8.0
2007,34,16,142513,52593,14.0
2010,20,15,88616,38418,9.0
2012,9,7,222303,17964,1.0
1995,11,9,137200,12185,
1998,18,6,52441,51233,
1994,56,15,223299,58669,1.0
2014,10,5,15225,3340,7.0
2005,26,16,65145,38218,7.0
1990,48,20,188938,79073,3.0
2001,32,15,87959,50622,3.0
1998,18,7,700855,19715,5.0
2000,20,8,131500,32656,11.0
2014,14,13,30500,15316,3.0
1999,27,15,396375,120421,11.0
1991,22,10,34855,4905,5.0
1996,12,12,96600,38897,
2009,10,7,46464,3659,1.0
1997,6,4,87549,4321,
2005,34,7,69934,46986,3.0
2004,22,5,442958,29342,14.0
2007,20,8,164068,0,19.0
2008,22,12,183901,39201,1.0
1991,19,9,137725,93992,17.0
2007,23,16,75637,52354,9.0
2014,14,11,31484,15907,4.0
1997,15,9,42052,30155,11.0
1997,32,11,177753,17736,10.0
2012,10,6,65382,35389,9.0
2008,34,11,98776,78906,20.0
2007,7,5,25300,19719,
2004,14,8,50855,30582,9.0
2003,38,23,233627,63045,6.0
2004,13,5,43179,17073,22.0
2002,19,13,55501,35880,1.0
2012,11,6,68273,12299,18.0
1999,30,26,88144,50893,2.0
2002,25,16,85825,25617,2.0
1997,28,20,211174,64719,13.0
2004,22,16,206749,34954,0.0
2001,36,20,182682,33088,2.0
1998,8,5,30259,10034,7.0
2014,7,6,32430,23005,9.0
2005,60,19,411649,253533,6.0
2001,34,9,295400,30167,5.0
1999,29,12,143750,46192,4.0
2007,8,6,41022,24013,12.0
2007,23,9,26700,7342,5.0
2004,31,22,506207,116104,16.0
2008,13,4,213310,7097,8.0
2005,30,17,244360,38889,2.0
2006,16,9,85649,46677,4.0
1995,16,6,248457,28829,7.0
2006,19,11,54991,29219,15.0
1991,15,6,116400,16623,1.0
2006,8,4,20500,20388,0.0
2005,20,14,61867,34725,13.0
1987,36,22,176697,42948,6.0
1996,49,19,327097,103543,4.0
2000,26,5,241438,20960,2.0
1999,35,16,609847,37951,4.0
2005,38,16,121034,83008,11.0
2007,13,4,12800,10665,12.0
2002,32,16,101156,58674,1.0
2006,32,11,277358,71367,1.0
2001,48,26,315917,46189,1.0
2007,18,8,46578,25684,13.0
2013,4,4,10782,6735,18.0
2001,21,5,154069,11150,1.0
2000,24,7,38600,11714,
2009,7,6,32733,22092,10.0
1985,55,26,440000,42649,0.0
2004,10,7,48467,30715,
1995,18,15,109500,14746,21.0
2005,20,11,226730,39458,2.0
2005,10,4,49815,26435,3.0
2008,21,12,36783,13700,3.0
1997,32,10,313889,118338,8.0
1996,20,6,494393,209376,7.0
1991,21,12,247367,48716,2.0
2004,35,13,515101,74381,1.0
1990,11,10,106610,69579,
2007,33,20,305338,40906,2.0
2004,20,7,92008,68823,11.0
2007,54,16,521786,134873,14.0
2001,21,13,551304,187709,5.0
2000,14,9,46617,35823,6.0
2004,42,24,344633,70804,7.0
2000,17,8,190300,26843,22.0
2005,41,29,461736,74023,8.0
2007,18,6,145446,10666,5.0
2003,12,11,23100,16102,3.0
1976,6,5,27400,21924,
2004,28,13,148723,102145,15.0
2005,23,17,151681,104187,9.0
2005,31,16,80775,39352,9.0
1982,49,14,720131,301518,1.0
1997,18,14,431537,159220,22.0
2005,14,8,34000,5986,8.0
2013,8,8,65676,34077,2.0
1995,34,14,76759,30786,3.0
1978,22,10,480384,29820,5.0
2013,3,3,17200,11077,
1976,36,19,365058,28351,6.0
2013,8,6,26489,13307,5.0
2006,14,6,293380,44882,7.0
1988,27,11,293895,28069,2.0
1979,16,7,22000,8644,9.0
2005,16,9,230873,29647,0.0
1986,14,7,199500,9136,0.0
2011,15,12,63300,26734,3.0
2007,22,8,51124,35547,6.0
1992,31,8,202300,41598,4.0
2003,20,10,48660,31116,1.0
2002,12,6,59676,35385,
2002,7,2,251690,2023,1.0
1999,15,10,70671,40775,
2002,43,10,742634,65816,1.0
2004,18,9,42014,32394,14.0
2011,11,8,56788,14834,1.0
2003,35,9,189253,19348,14.0
2012,25,18,132340,79560,3.0
2001,37,15,272413,103139,8.0
1999,22,7,281467,29939,5.0
2011,20,13,274294,82664,8.0
1997,45,16,135263,104784,10.0
2006,25,11,152772,28389,2.0
2008,20,9,205329,17428,
1989,23,12,172542,34533,3.0
1997,6,4,167746,34590,9.0
2006,11,8,18092,9896,4.0
1989,17,7,61477,25342,13.0
2003,15,5,270786,95923,
1999,36,27,111632,52086,0.0
2011,12,9,262801,25586,17.0
2006,4,3,10300,5435,
2003,13,9,61158,54543,0.0
2005,13,8,68265,64328,
2000,24,12,32627,22466,7.0
1995,10,5,129000,368,
2010,21,14,382190,15229,2.0
2004,31,17,193469,159878,5.0
1988,30,15,50833,36675,6.0
2013,10,9,71532,33326,19.0
2002,22,19,62800,33897,1.0
1983,36,15,186785,68319,14.0
2013,9,6,21700,13806,10.0
1998,20,14,74394,52524,5.0
2003,37,14,36320,17519,4.0
2003,24,17,306802,45679,2.0
2003,24,10,53640,30402,0.0
2007,3,1,500,324,6.0
2006,13,7,8600,2568,
2000,54,17,291671,251337,22.0
1978,50,18,130171,97996,1.0
1998,23,13,94090,74215,
1991,22,13,44600,6282,2.0
1994,10,7,34138,20537,6.0
1995,28,24,70600,48363,11.0
2010,10,6,19174,9387,2.0
2002,20,9,331617,34998,
1998,20,11,284549,30439,4.0
2006,10,8,185675,70405,6.0
2000,22,7,60934,29540,7.0
1997,36,12,213393,37245,5.0
1998,24,11,218500,5307,5.0
2001,16,7,67907,42891,16.0
2004,30,11,130793,52082,3.0
1997,28,10,128419,27957,3.0
1981,21,11,64648,32435,1.0
2003,16,10,32531,20468,12.0
2003,34,13,300377,58846,13.0
2000,55,26,437791,154082,2.0
2003,30,22,195823,49814,1.0
1996,37,11,95978,50846,
1999,36,25,383920,50846,5.0
1985,27,8,177193,34708,11.0
2007,35,27,412031,62800,8.0
1998,13,7,44191,26651,11.0
1997,16,11,339348,125381,5.0
1999,29,18,49496,23178,1.0
1979,52,6,425003,118048,5.0
2008,8,1,1000,0,
1997,26,8,58092,47174,5.0
2004,32,16,58589,40219,3.0
2001,30,14,253219,23226,0.0
1998,25,11,150792,95287,14.0
2007,14,6,271895,39912,17.0
2004,7,5,24900,14353,2.0
2000,23,12,604879,156411,0.0
2014,10,9,16432,7977,8.0
2001,25,8,426006,30208,17.0
2006,23,10,55419,36085,12.0
2004,14,10,118466,44138,1.0
2011,11,9,60949,31712,
1994,12,7,54159,34059,
2006,32,19,320788,51279,5.0
2003,13,11,173547,140118,0.0
2005,16,11,20754,8400,
2012,14,8,51895,28418,3.0
2003,23,11,770922,158201,5.0
1991,23,11,282300,44487,
1989,22,10,467710,110874,7.0
1980,19,11,118862,67919,9.0
2000,43,22,149818,74764,2.0
2010,10,10,201612,32308,4.0
2009,36,20,125789,97737,10.0
1995,26,12,240500,27846,0.0
2006,37,22,253672,110542,4.0
2008,33,14,66782,32474,21.0
1995,21,8,238069,216560,10.0
1996,29,13,514902,15548,2.0
2001,11,8,25138,21457,0.0
2006,13,3,26784,14102,
2001,59,38,487412,274405,4.0
2007,14,8,145904,88536,
2014,6,5,24800,14983,2.0
2005,7,6,78750,2339,8.0
2005,27,18,91692,33313,1.0
2004,16,6,321662,58562,11.0
2003,23,4,54543,33950,5.0
1999,62,19,180433,33209,0.0
2009,26,7,102131,97092,3.0
2006,15,8,53202,24889,
2010,16,15,87986,57436,16.0
2004,15,8,470638,149424,19.0
2009,36,22,84153,68930,
2004,50,19,565377,231673,20.0
2008,20,3,203258,48820,7.0
2008,14,9,31799,15328,4.0
1989,38,20,93000,30569,16.0
2009,14,6,266417,12488,6.0
2006,9,7,29227,29442,15.0
2014,4,4,15100,10126,2.0
2002,25,12,154465,76428,17.0
1997,17,11,79459,75476,2.0
2013,15,10,64350,34481,23.0
2006,22,17,96313,32621,14.0
1994,34,22,171805,42877,7.0
1995,19,6,323589,47467,23.0
2006,41,10,62132,15684,8.0
2004,12,11,60883,31896,17.0
1990,69,31,920884,256949,15.0
2000,27,10,367911,60513,1.0
2002,19,17,75176,38767,6.0
2003,26,12,93306,31110,2.0
2009,11,2,1000,778,2.0
1997,44,13,214600,13327,10.0
2006,2,2,5600,0,4.0
2002,24,6,53943,25336,2.0
2002,12,10,107432,10692,6.0
2006,8,7,76995,73884,8.0
1999,10,3,17000,12346,
2007,5,2,30741,24730,6.0
1998,10,5,55685,43346,
2003,23,15,642952,49118,1.0
2003,18,12,55201,45651,1.0
2010,13,10,78554,53045,1.0
1991,25,14,864396,160922,6.0
1991,29,18,363123,75851,7.0
2006,21,6,23200,13415,
2006,18,11,483332,37067,0.0
2005,51,26,239710,135938,1.0
2006,10,5,11266,7389,0.0
2014,9,8,15500,6054,4.0
2009,21,11,78289,36562,4.0
2001,11,8,53900,13397,1.0
2002,23,7,336575,37169,3.0
2002,17,7,121021,100778,15.0
2000,22,5,10000,7749,15.0
2000,14,8,56600,15359,3.0
2005,63,19,251721,233230,1.0
2000,25,12,168337,3907,6.0
2006,30,22,243107,14255,2.0
2003,31,22,73117,28831,1.0
2003,35,7,127609,1933,3.0
1989,15,9,47100,28942,
2002,23,17,382076,56682,7.0
2006,13,7,33189,22578,9.0
2013,4,4,17359,10091,19.0
2008,9,9,534372,6202,8.0
2006,4,2,4300,2716,15.0
2006,8,4,4300,3323,4.0
1990,15,5,88084,49084,10.0
2006,19,13,74900,24189,0.0
2006,12,5,206602,35326,12.0
1986,9,5,17400,12400,20.0
2011,11,8,358161,45893,10.0
1991,20,4,20600,7064,
2004,24,11,47923,29258,8.0
2012,16,11,230889,32952,9.0
2000,27,13,73031,48611,
1994,19,11,86930,49555,12.0
2009,14,7,20924,10800,
2005,14,10,277533,57505,1.0
2006,7,6,71850,34750,12.0
2004,20,8,132026,14436,2.0
2011,12,9,226673,41134,
2001,19,9,280934,62759,3.0
2005,18,11,29725,9263,3.0
2012,11,8,50999,14555,8.0
2005,25,8,62000,11744,12.0
2000,16,8,276617,17221,9.0
2004,31,20,240758,12199,1.0
2007,18,12,70100,36980,6.0
2004,33,17,435583,109674,4.0
2006,14,11,242009,48506,14.0
2008,7,5,10652,5167,21.0
1995,26,13,884610,127446,5.0
1997,27,14,257270,10293,0.0
2006,21,11,341340,116079,5.0
2005,9,3,52603,41682,20.0
1997,9,6,81700,11810,21.0
1987,35,13,32745,16802,5.0
2008,29,25,84324,33590,0.0
2010,10,9,65847,41101,3.0
1990,30,12,82173,41188,12.0
1989,16,9,25582,11816,12.0
2004,9,4,32200,22582,
2007,15,4,350836,15284,3.0
1994,14,9,87606,9044,
2006,49,22,404737,29920,6.0
1987,37,18,444344,109816,
2002,32,20,120304,34499,3.0
2000,18,10,92840,127470,
2007,16,10,117173,34568,10.0
2005,39,14,116736,108092,6.0
2006,24,10,622144,73904,11.0
2009,15,12,75837,48301,1.0
2014,6,6,11300,9712,2.0
2001,30,14,396163,86200,1.0
2014,2,2,6900,346,6.0
1983,14,7,237356,2409,20.0
1994,32,7,81698,49168,18.0
2004,25,11,298491,37578,2.0
1997,34,26,382472,390719,
2013,14,12,134320,96419,2.0
2005,14,8,215224,59373,1.0
2003,39,14,59864,68115,5.0
2003,23,15,82483,53771,7.0
1992,30,11,67496,23579,0.0
2009,10,7,48898,41060,16.0
2005,26,10,147686,34162,3.0
1998,23,14,132266,34799,10.0
2013,7,7,74500,24680,4.0
1996,32,16,102413,59187,
2012,7,7,25200,13069,22.0
2013,7,5,33640,22762,0.0
1999,17,9,95295,50124,3.0
2003,43,25,118155,33670,7.0
2003,30,9,258930,235425,3.0
2006,39,8,74061,66950,
2005,16,4,160060,30871,0.0
1985,20,9,82609,43574,
2002,24,13,215306,28393,7.0
2007,13,8,120626,95208,3.0
2005,23,12,143807,91078,4.0
2014,6,3,11000,8536,18.0
1982,42,21,322311,133138,6.0
1991,34,22,330513,212441,7.0
1993,13,11,52018,39895,6.0
2002,14,8,116568,77371,6.0
2003,12,9,216344,21433,15.0
1998,34,20,158814,76442,12.0
2011,8,3,192018,4766,10.0
2007,6,6,255868,16235,0.0
2006,34,12,443437,272922,6.0
2007,23,21,253415,74821,10.0
2007,13,7,168600,2663,10.0
2005,15,5,5900,2909,23.0
2013,9,8,294298,30709,11.0
2000,21,15,74700,17943,14.0
2006,14,7,266557,68901,23.0
1987,17,5,127709,47889,
1998,39,18,26900,7373,2.0
2006,23,18,114916,68640,3.0
2005,18,11,321250,4264,
2001,6,3,4600,1637,7.0
1998,39,18,487175,39795,9.0
2009,24,19,86373,65986,16.0
2007,29,13,132817,131726,5.0
2000,19,16,71746,60991,13.0
1999,19,9,372555,55831,1.0
2004,17,9,149881,127441,
1999,29,11,297050,40446,5.0
1993,19,14,121474,25933,3.0
1992,26,15,350863,33176,2.0
2002,20,14,54448,43274,
1999,44,36,370949,37248,1.0
2007,16,8,57125,33465,18.0
1999,20,9,136526,96747,5.0
2012,19,11,179394,24939,19.0
1994,24,16,415186,61454,
2000,11,3,302664,0,
2008,8,4,101800,13569,19.0
2011,14,9,53200,9510,1.0
2003,31,13,320017,120476,19.0
1997,32,6,239411,13023,2.0
2000,36,15,350073,108015,6.0
2005,14,7,23200,19378,14.0
2005,28,14,368610,78912,9.0
2001,27,13,323213,61599,13.0
2002,13,7,150047,84799,14.0
1985,34,20,861686,84817,10.0
2006,14,11,115137,119006,4.0
1992,32,10,58799,34369,3.0
2006,28,13,80125,49077,0.0
1998,4,3,68863,2517,20.0
2003,30,23,500064,101478,3.0
2002,40,23,405641,56595,1.0
1999,9,4,92873,76496,18.0
1998,15,6,228170,99487,10.0
2009,10,7,38400,8940,
2003,26,11,101327,75599,3.0
2012,19,11,38600,4220,1.0
2005,22,8,67555,6216,5.0
1997,22,12,108237,20800,
2011,10,9,47142,10900,2.0
1994,18,11,104611,25657,0.0
2002,20,8,44247,39713,6.0
1994,23,17,66271,53786,7.0
1987,13,11,23098,10480,10.0
2007,22,11,187458,14871,1.0
2006,25,6,266379,42869,6.0
2014,6,6,84065,58139,7.0
2006,11,9,41600,19003,
2003,19,5,30484,20901,20.0
2007,19,10,226555,29787,0.0
2002,28,8,314462,94243,3.0
2007,20,9,93100,6499,0.0
2007,15,9,240826,23748,22.0
2007,11,7,39500,29323,18.0
2006,9,5,125014,21796,
1993,30,14,569999,85647,21.0
2003,26,11,111470,78673,13.0
1998,46,22,182878,108791,1.0
2003,13,6,219724,10368,1.0
2008,31,11,117251,78205,14.0
2002,11,8,58223,25030,11.0
1998,47,20,321514,96829,7.0
2001,14,6,61269,28613,
2007,15,9,29907,20215,14.0
1995,44,3,16500,5044,0.0
1988,15,10,22000,10658,9.0
2002,22,13,94624,43325,
2006,15,12,88410,60904,4.0
2003,52,20,309014,107767,0.0
2002,23,15,67333,51092,3.0
2001,29,9,407385,34131,7.0
2002,9,6,61631,45711,3.0
2012,14,12,67700,21520,
1995,21,9,46333,73040,
2014,9,9,54469,27103,13.0
1995,36,23,407123,59466,14.0
1998,23,14,266588,49232,13.0
1995,27,8,17300,6051,4.0
2002,24,8,69294,36920,6.0
2000,12,5,20300,989,
2008,18,12,191195,16039,7.0
1996,12,6,11811,7800,
1996,13,10,485164,142325,6.0
2000,20,7,510674,21864,8.0
2005,18,10,270239,44399,17.0
2002,16,10,218743,50786,7.0
1994,19,10,54125,25019,0.0
1990,24,14,62995,25348,14.0
2000,22,14,3386034,193589,4.0
1993,21,11,239457,35089,16.0
1984,50,22,454185,56660,9.0
1998,35,16,243136,28899,5.0
2010,9,7,43716,27204,23.0
2007,42,21,611747,81264,9.0
2011,19,15,69706,33212,12.0
2003,24,17,238895,85393,8.0
1991,14,7,544745,42917,12.0
1986,11,8,167669,67507,21.0
2001,14,4,66145,72596,
2008,17,9,350989,75514,9.0
2002,32,12,306556,74281,4.0
2001,30,12,165071,127566,10.0
2013,19,10,106869,14638,0.0
1998,33,9,30292,22928,4.0
1989,24,9,237432,26068,9.0
2013,6,5,22300,12577,14.0
2008,9,8,15600,8485,8.0
2011,12,9,218938,41796,2.0
2012,19,16,194350,24931,5.0
2011,12,6,32900,6659,9.0
2005,12,6,260300,9624,7.0
2003,25,15,42500,15079,5.0
2003,27,19,177925,53762,8.0
2008,11,7,32000,18436,10.0
2008,22,15,169567,35850,4.0
2009,12,8,193700,6737,2.0
2012,5,4,8000,3724,
2012,19,19,90300,9767,4.0
2000,22,14,80738,48966,1.0
1999,26,14,162736,125057,10.0
2011,5,5,5905,2428,4.0
1998,25,6,191877,12434,20.0
2004,29,14,251926,48473,6.0
1999,15,8,97000,26717,19.0
2005,24,16,42900,14514,9.0
1996,8,7,57800,20505,2.0
2002,26,11,50030,25223,14.0
1986,11,5,127887,20958,
1987,39,18,208314,39020,6.0
1996,16,10,138200,42156,3.0
2001,21,18,317125,49287,19.0
1997,51,13,368171,65570,9.0
1983,26,19,243855,50023,1.0
2005,13,7,113345,97746,1.0
2005,15,7,308182,37392,
2002,15,3,80000,59631,21.0
1976,18,7,32725,25493,8.0
2014,5,5,42600,6265,18.0
1989,26,10,375184,56206,2.0
2002,26,15,54300,10435,3.0
1999,23,14,62866,28040,1.0
1996,33,8,94161,63632,5.0
2006,19,9,64200,5189,4.0
1997,32,12,323510,63205,0.0
2005,28,16,319800,3830,2.0
1997,19,9,330416,60597,
1993,28,17,287891,85116,
1997,21,9,273490,40361,13.0
2001,20,9,54570,27228,13.0
2010,17,8,475160,39413,12.0
2011,9,9,51991,24313,
1983,23,18,123509,40883,12.0
2005,12,10,79665,64771,19.0
2004,16,8,47065,20346,
1986,58,24,257886,126300,0.0
1999,39,25,336592,121935,10.0
1989,18,7,27600,22164,
2004,13,7,86587,46402,
1990,41,17,172231,113317,3.0
1992,34,16,34277,7402,5.0
2004,10,9,45700,14522,9.0
2007,31,29,102200,28938,4.0
2008,24,9,127987,2242,1.0
1999,48,6,76531,37545,0.0
2007,19,9,56000,20657,3.0
1981,41,26,66467,34003,0.0
2007,19,11,63276,24888,12.0
2006,22,14,38400,14091,11.0
2006,32,17,277598,300725,8.0
2008,29,18,86200,53214,9.0
2008,13,12,80602,35373,5.0
2004,12,4,114200,2160,1.0
2007,13,8,33881,13999,10.0
2008,12,8,48890,19668,
2011,25,22,128452,64490,14.0
1978,16,7,293575,6858,4.0
2007,15,12,64800,3640,11.0
2011,17,9,50368,29148,10.0
1995,42,21,288047,41413,1.0
2002,10,6,117025,25122,
2006,24,8,306389,90744,5.0
2013,9,7,109869,9303,4.0
2002,14,11,82482,64995,5.0
1972,38,29,113900,24028,4.0
2002,38,17,444785,40346,5.0
2003,16,11,91853,73616,14.0
2003,20,14,179343,24045,17.0
2010,19,18,59283,19187,3.0
1995,21,12,328200,85748,16.0
1996,20,13,280249,65965,5.0
2013,16,12,37680,18369,6.0
2003,30,13,204202,101446,6.0
2000,11,8,59500,5294,24.0
2002,25,9,299585,30183,1.0
2003,25,20,155644,65254,6.0
2005,15,11,62659,56476,11.0
2009,12,5,110300,3105,
2007,23,19,70386,41266,3.0
2004,23,11,402377,53149,2.0
2007,23,17,50123,20142,15.0
2004,26,8,110206,92511,20.0
2009,19,6,162152,6503,0.0
2002,14,6,57595,43891,1.0
1983,25,14,52160,25307,5.0
2000,36,31,249602,133520,8.0
1986,19,14,168497,70404,9.0
2006,15,14,54900,31735,17.0
2001,9,3,1700,201,
1993,48,26,756528,197380,3.0
1998,11,8,289937,20126,22.0
2007,29,11,327629,89294,5.0
2007,10,6,18100,2400,
2001,19,10,58817,30214,13.0
2007,21,11,39865,21659,0.0
2009,6,5,64412,17823,0.0
1998,20,6,299598,18792,19.0
2009,21,15,381500,2242,20.0
2007,14,9,48364,31546,20.0
2006,35,21,244412,247486,6.0
1990,40,18,344550,12475,
2009,13,10,84702,45847,3.0
2003,19,11,240934,63235,1.0
1998,20,8,447873,90551,1.0
2006,17,9,33500,6583,23.0
2003,16,6,18623,10437,3.0
1995,31,21,305263,58973,22.0
2014,6,4,12200,752,1.0
2002,28,11,82255,45953,16.0
2004,18,13,38075,18424,2.0
2000,36,20,330461,87346,14.0
2005,12,6,48734,31527,4.0
2003,20,13,62786,9419,4.0
2006,40,20,530925,172621,3.0
2003,13,6,50274,45364,0.0
2004,4,3,47769,45915,12.0
2006,12,8,165376,26005,8.0
2014,7,7,218288,29739,0.0
2013,12,9,10096,8780,23.0
2006,17,10,839094,77792,7.0
1999,39,16,110400,29317,4.0
2014,18,18,62427,17934,9.0
2000,41,23,310420,241595,14.0
1998,17,14,48247,39528,13.0
2012,10,9,141379,29877,
2002,31,9,270485,19233,15.0
2008,17,6,128044,113041,2.0
2011,12,5,21616,13526,13.0
2002,10,6,238756,37238,
1996,32,10,81962,11926,14.0
2008,19,9,25100,14336,1.0
2007,19,7,120865,40617,9.0
2006,7,3,30307,17500,15.0
2011,15,12,39450,24238,13.0
2007,11,8,118596,48709,1.0
2002,31,11,432092,53310,0.0
1996,27,13,441832,61481,2.0
2008,28,12,296440,57967,10.0
2009,22,16,275303,44879,7.0
1998,33,17,271797,117318,14.0
2009,30,7,198063,29599,10.0
2008,17,11,67000,29821,8.0
1998,11,9,83505,4549,0.0
2006,20,12,415461,35285,5.0
1990,22,11,406204,59342,4.0
1999,31,10,16400,2512,17.0
2001,27,11,36900,9411,16.0
2004,31,7,77181,34982,6.0
2002,16,5,332065,45517,3.0
2007,9,3,9000,6605,
2001,20,12,329489,30284,4.0
2002,24,7,267628,30456,
1992,51,27,777554,122743,18.0
2006,5,3,15400,5155,4.0
2014,8,7,10500,6065,0.0
1995,13,10,101957,76108,5.0
2000,21,7,497540,70167,3.0
1994,26,14,50835,22126,0.0
2005,29,5,42891,31131,4.0
2008,17,5,59677,46794,0.0
2000,14,7,24000,10875,22.0
2009,20,13,43453,38784,8.0
2005,12,6,79888,44600,1.0
2007,31,11,112327,87883,9.0
1991,25,11,1041100,33449,0.0
1989,27,10,275688,15338,9.0
2006,33,16,57583,39667,2.0
2004,7,4,15980,2872,
2010,24,10,204926,63684,8.0
2001,22,12,187743,26999,2.0
2007,11,7,27776,18753,10.0
1999,23,11,111538,52200,15.0
2004,29,16,82795,59792,
1998,24,10,45964,16870,6.0
2002,31,15,52032,21136,3.0
1993,16,7,42485,39312,7.0
1999,6,2,2400,1559,17.0
1990,28,14,100975,54940,8.0
2002,10,6,156658,141644,17.0
2001,26,16,246834,23257,3.0
1973,10,7,28441,16604,15.0
1990,19,13,88200,21071,
2009,10,7,46300,27348,2.0
2004,41,6,106451,88611,
2001,28,13,154342,77321,0.0
2006,31,14,392918,34523,
1975,19,11,153448,27090,23.0
2005,21,12,60307,36594,11.0
2008,20,15,99961,76035,3.0
2014,8,8,17000,6489,0.0
2003,30,25,80385,70451,5.0
1998,8,5,91570,33260,2.0
1987,17,11,59212,43144,6.0
2008,16,13,75300,19889,9.0
2007,20,12,152280,135949,10.0
2014,10,8,49215,40107,3.0
1995,14,7,78514,57191,18.0
2005,3,1,7500,2840,
2004,18,9,271238,17366,10.0
2002,21,6,42400,5005,18.0
2001,18,4,833600,0,1.0
1987,28,11,23200,7519,3.0
2002,46,19,369078,87468,19.0
1973,35,20,232793,37558,5.0
2002,13,7,4900,1797,9.0
2004,31,19,520306,90966,9.0
1996,38,20,538300,23755,18.0
2000,17,8,79307,50351,3.0
2008,18,10,67251,45801,
2005,16,9,67803,23661,4.0
1988,11,6,155200,8538,
2002,19,11,59968,37547,10.0
1999,17,9,29500,21256,17.0
2002,18,9,353394,54606,4.0
1995,37,20,606625,174368,6.0
2010,12,10,73657,58164,5.0
1991,11,6,22000,16151,
2001,40,13,69676,30174,4.0
1999,28,21,364944,49211,5.0
2001,35,25,69500,23614,10.0
1995,34,20,133042,93035,1.0
1989,14,6,51617,27912,
2002,34,18,118305,57511,1.0
2002,29,13,434389,129799,3.0
2001,21,9,336000,10650,22.0
1997,29,17,115962,65050,10.0
2002,48,22,290681,73664,5.0
2001,6,4,28859,22421,14.0
2008,12,9,65856,56059,3.0
2000,29,12,444019,57047,10.0
2013,13,13,24600,8222,3.0
2005,17,9,475830,96518,1.0
2005,23,12,194279,15400,9.0
2003,15,5,446876,40722,4.0
1986,22,15,74295,7271,22.0
2007,8,6,346581,62910,1.0
1994,53,26,642700,184164,1.0
2005,54,23,544965,98035,6.0
2002,23,14,230027,62383,1.0
1997,7,6,40500,39452,
2001,19,9,323200,6939,13.0
1995,11,6,39700,5842,6.0
2008,6,5,4700,2863,
1988,45,12,153113,135966,7.0
1998,23,12,182752,40459,1.0
2006,10,5,19000,14629,12.0
1997,21,9,742800,33119,7.0
2004,49,14,135618,111790,14.0
1995,24,9,221244,46465,7.0
2002,15,6,306429,53889,10.0
1991,26,10,26200,14002,4.0
2013,4,3,13500,5112,5.0
1996,27,14,51200,28506,4.0
1985,15,11,71666,36556,2.0
2005,14,11,46874,28670,24.0
1990,51,25,362866,120099,
2003,20,6,109517,85567,5.0
2007,22,5,41331,24898,4.0
1996,22,5,756153,101918,5.0
