emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
hcc coder,1.0,OH,MORTGAGE,10000,36,9.44
owner,10.0,NC,RENT,20000,36,6.71
golf course supt,10.0,SC,MORTGAGE,37000,60,10.42
manager,3.0,IN,RENT,6000,36,6.72
customer service ,2.0,NY,OWN,10000,36,9.93
director of facilities and logistics,10.0,MD,MORTGAGE,20000,36,6.72
senior army instructor,6.0,TX,MORTGAGE,18000,60,9.44
chef,2.0,NY,MORTGAGE,10000,36,13.59
teacher,10.0,LA,MORTGAGE,25000,60,12.61
cashier,1.0,KY,RENT,5000,36,21.45
project manager,10.0,VA,MORTGAGE,6000,36,9.43
,,NY,RENT,8400,36,6.71
national sales manager,0.0,NY,MORTGAGE,23000,60,9.92
church administrator,10.0,GA,MORTGAGE,3025,36,19.42
property manager,10.0,MA,RENT,25000,36,14.08
technician,10.0,KY,RENT,25000,60,20.0
service consultant,10.0,MI,RENT,5000,36,9.93
logistics management specialist,10.0,TX,OWN,20000,36,7.35
financial management,10.0,MD,MORTGAGE,35000,36,18.06
production scheduler,10.0,VA,OWN,15000,60,14.08
driver,0.0,CT,MORTGAGE,6000,36,13.59
partner development manager,2.0,TX,MORTGAGE,19000,36,7.96
teacher,10.0,OH,MORTGAGE,40000,36,5.31
appraiser,0.0,UT,RENT,10000,36,10.41
statistician,10.0,MD,MORTGAGE,40000,60,9.44
income manteinance caseworker,0.0,PA,MORTGAGE,18000,60,13.58
,,PA,OWN,6500,36,23.88
estimator,3.0,GA,RENT,6000,36,13.59
soldier,5.0,MD,RENT,12000,36,6.71
field representative,7.0,NJ,MORTGAGE,13000,60,12.62
parts tech,9.0,CA,MORTGAGE,10000,36,9.44
engineer,10.0,CA,OWN,35000,36,15.05
technician,10.0,TX,RENT,8000,36,9.93
cook,10.0,FL,OWN,20000,60,18.06
associate pastor,3.0,KS,MORTGAGE,30000,36,16.01
rdaef ,2.0,CA,MORTGAGE,5000,36,11.99
nursing,3.0,FL,MORTGAGE,5000,36,9.43
client relations manager,10.0,CT,RENT,21000,36,11.99
,,IN,MORTGAGE,2500,36,5.32
rn,0.0,NC,OWN,25000,60,12.62
project consultant,10.0,FL,MORTGAGE,3600,36,15.05
service analyst,3.0,GA,RENT,10000,36,15.05
chemist,2.0,FL,RENT,6500,36,10.42
sr housing counselor,3.0,CA,MORTGAGE,10000,36,6.72
welder,7.0,WI,MORTGAGE,8000,36,7.35
maanger,10.0,VT,RENT,3500,36,20.39
trainer,10.0,CA,RENT,32000,36,6.08
manager,10.0,MI,RENT,30000,36,9.93
org driver ,10.0,GA,MORTGAGE,16000,36,11.98
,,LA,MORTGAGE,8400,36,20.39
vinyl repair ,3.0,WA,MORTGAGE,6000,36,13.58
,,NV,RENT,10000,36,5.31
analyst,10.0,KY,MORTGAGE,10000,36,16.02
personal banker ,2.0,FL,MORTGAGE,16000,60,18.06
,,FL,RENT,22000,60,19.03
lpn,10.0,ID,OWN,10000,60,16.02
,,FL,RENT,10000,36,9.93
executive director ,0.0,TX,MORTGAGE,35000,60,13.59
paraeducator,3.0,WA,RENT,23000,60,15.05
foreman,6.0,MI,MORTGAGE,7200,36,23.87
front office manager,10.0,TX,MORTGAGE,14000,60,9.93
accountant,1.0,FL,MORTGAGE,19525,60,20.0
assistant property manager,2.0,IL,RENT,7800,36,5.32
mail carrier,5.0,MI,RENT,28600,60,26.77
,,PA,OWN,2500,36,7.34
operations manager,0.0,CA,RENT,30000,36,15.05
property manager,10.0,WV,MORTGAGE,10400,36,10.9
mechanic ,1.0,CA,RENT,7000,36,9.93
power production manager,10.0,VT,MORTGAGE,7000,36,7.35
supervisor,9.0,MD,MORTGAGE,8000,36,13.58
general manager,4.0,IL,RENT,7200,36,14.07
pediatrician,10.0,CA,MORTGAGE,40000,36,7.35
maintenance mechanic,2.0,FL,MORTGAGE,40000,60,11.99
engineer,6.0,FL,MORTGAGE,34000,60,12.61
,,VA,MORTGAGE,12000,36,11.98
,,VA,MORTGAGE,4625,36,9.92
billing lead,10.0,NC,RENT,10000,36,10.91
executive pastor ,10.0,AL,MORTGAGE,14000,60,14.07
digital marketing manager,0.0,MD,RENT,1800,36,7.35
claim specialist,8.0,FL,MORTGAGE,5000,36,9.92
,,VA,RENT,1500,36,13.58
,,FL,RENT,22000,36,6.71
sales,10.0,OH,MORTGAGE,1625,36,7.34
loan officer,3.0,CA,RENT,8000,36,5.32
teacher aid ,0.0,CA,MORTGAGE,5000,36,18.45
project managet,10.0,NC,MORTGAGE,40000,60,19.42
senior accountant ,10.0,MA,OWN,30000,60,10.42
product man,2.0,GA,RENT,15000,36,6.71
senior visual merchandising manager,10.0,NY,RENT,20000,36,6.08
police officer,8.0,NY,RENT,13000,36,9.92
physician,0.0,MD,MORTGAGE,20000,60,15.05
technision,1.0,CA,RENT,8000,36,25.82
key holder ,0.0,NY,RENT,15000,60,24.84
venturcap investment group ,2.0,RI,OWN,12700,36,9.93
lead its specialist,3.0,FL,RENT,36000,36,7.97
manager,10.0,TX,OWN,40000,60,9.44
finance,9.0,MA,MORTGAGE,15500,60,17.47
foreman,3.0,MD,OWN,25000,36,7.34
physician,1.0,FL,RENT,32000,36,13.59
fire captain ,10.0,CA,MORTGAGE,35000,60,18.06
road maintenance,5.0,CA,MORTGAGE,12000,60,19.03
regulatory/safety & pharmaco vigilance a,2.0,MD,RENT,23400,36,14.08
cnc programmer,1.0,TX,OWN,6000,36,12.62
executive adminstrative,10.0,CA,RENT,3000,36,14.08
purchasing director,0.0,FL,RENT,21000,36,16.02
assembly ,5.0,IN,MORTGAGE,28800,36,10.9
realtor,10.0,PA,MORTGAGE,28000,36,7.35
assistant store manager,5.0,MD,RENT,12000,36,6.72
analyst,4.0,TX,RENT,13800,60,24.85
stocker ,4.0,MO,RENT,9000,36,10.91
e5,4.0,MD,RENT,4000,36,18.45
mechanic ,0.0,NY,RENT,18000,36,14.08
regional staff nurse ,5.0,NJ,RENT,10000,36,11.99
physical therapist assistant,0.0,PA,OWN,32000,60,12.62
director of student finance,3.0,CA,RENT,36000,60,14.07
driver ,2.0,MD,MORTGAGE,10000,36,7.35
customer service,10.0,MD,RENT,20000,36,7.97
senior wind technician,5.0,CO,MORTGAGE,12000,36,5.31
trucker,10.0,AL,MORTGAGE,35000,60,19.03
firefighter ,2.0,NM,MORTGAGE,25000,60,14.08
driver,0.0,TX,RENT,10000,36,16.02
sales,5.0,OK,OWN,25000,36,13.59
management,5.0,DC,RENT,10000,36,11.98
nurse,10.0,NY,OWN,13000,36,10.41
implemetation specialist,2.0,IL,RENT,13000,36,13.58
program director,10.0,FL,MORTGAGE,15000,60,9.92
order speacailist,10.0,CT,RENT,8550,36,15.05
director special events,6.0,ID,OWN,20000,60,11.99
sales agent,5.0,NY,MORTGAGE,30000,60,28.72
psychology associate senior,10.0,VA,MORTGAGE,25000,36,11.99
captain,9.0,OR,MORTGAGE,12500,60,24.85
registered nurse,5.0,NC,MORTGAGE,12000,36,7.35
seamstress,4.0,OR,RENT,3200,36,15.05
machine operator,4.0,MN,MORTGAGE,15100,60,12.62
stylist,10.0,CA,MORTGAGE,15000,60,9.44
quality assurance lead,10.0,OR,MORTGAGE,32200,60,14.07
,,VA,MORTGAGE,6000,36,11.99
patient care technician,10.0,CT,MORTGAGE,7000,36,9.43
audit ,8.0,OK,OWN,18000,36,17.47
drain tech,10.0,OR,MORTGAGE,12000,36,5.31
realtor,10.0,FL,RENT,10000,36,12.62
pharmacy technician,10.0,CA,MORTGAGE,2500,36,7.35
marketing,5.0,NY,RENT,28000,36,15.04
parole,0.0,TX,MORTGAGE,7000,36,11.98
material coordinator,10.0,CA,RENT,4200,36,14.07
police officer,10.0,NJ,MORTGAGE,20000,36,5.32
ceo,10.0,AZ,MORTGAGE,14400,36,10.91
freight broker,10.0,OR,MORTGAGE,4800,36,12.62
,,CO,RENT,2500,36,7.35
service director,9.0,IL,MORTGAGE,27000,60,13.59
help desk,9.0,PA,RENT,11200,36,10.91
supervisor,3.0,OH,MORTGAGE,10000,60,10.42
it consultant,6.0,OH,RENT,30000,60,15.05
director marketing ,10.0,AZ,MORTGAGE,40000,60,10.42
operator,9.0,TX,MORTGAGE,5500,36,10.91
counselor,10.0,TX,MORTGAGE,22000,36,5.32
electrician,10.0,WA,MORTGAGE,10050,60,13.58
warehouse ,0.0,TN,MORTGAGE,11000,36,10.9
special education teacher,6.0,CA,RENT,6000,36,9.44
supervisor,4.0,AZ,MORTGAGE,24000,60,10.91
member,10.0,MS,MORTGAGE,25000,36,10.41
heavy equipment operated ,4.0,AK,MORTGAGE,12500,60,7.97
dental assistant,10.0,FL,RENT,4000,36,20.39
flight dispatcher ,3.0,TX,MORTGAGE,14000,36,10.9
procurement account manager,1.0,AL,MORTGAGE,35000,36,7.97
driver,10.0,IL,MORTGAGE,20000,36,5.32
nurse manager,10.0,CA,MORTGAGE,20000,36,5.31
teacher,3.0,IL,RENT,10000,36,15.05
,,OH,MORTGAGE,18000,60,13.59
marketing director,1.0,NY,MORTGAGE,15000,36,17.47
truck driver,3.0,AL,OWN,9600,36,9.92
registered nurse,10.0,NY,MORTGAGE,6000,36,15.05
operations management,10.0,TN,MORTGAGE,20000,36,7.35
superintendent,10.0,TN,MORTGAGE,27000,36,9.93
auto body mechanic,10.0,AL,MORTGAGE,25000,60,9.92
vice president,6.0,FL,RENT,4800,36,13.59
director of sales,1.0,AZ,RENT,4200,36,19.03
package handler ,1.0,IN,RENT,7200,36,20.0
clerk,3.0,MN,MORTGAGE,1000,36,9.93
teacher,1.0,CA,RENT,5600,36,6.08
,,MA,MORTGAGE,10000,36,7.96
,,NY,MORTGAGE,24000,60,9.44
pst,10.0,NJ,RENT,15000,60,28.72
manager,3.0,OK,MORTGAGE,25000,60,26.3
lawn care owner,10.0,TN,RENT,5000,36,13.59
material handler,6.0,AZ,MORTGAGE,5000,36,6.72
cardiac sonographer,0.0,NC,MORTGAGE,11000,60,11.99
software engineer,0.0,TX,RENT,10000,36,19.42
district manager,10.0,CA,RENT,35000,36,11.99
cashier,6.0,KY,RENT,12000,60,25.82
driver,10.0,IL,MORTGAGE,13000,60,15.04
repair man,10.0,TN,MORTGAGE,10000,60,28.72
manager,10.0,MI,MORTGAGE,40000,60,16.01
real estate agent ,10.0,GA,MORTGAGE,15000,60,12.62
staff assistant to the dean,7.0,CA,RENT,20000,36,17.09
hr generalist,6.0,AZ,MORTGAGE,7200,36,6.08
director of supply chain operations,4.0,PA,MORTGAGE,25000,60,7.34
program development director,5.0,CA,RENT,17000,36,6.72
nurse,7.0,PA,OWN,22325,36,19.03
owner,10.0,RI,MORTGAGE,30000,60,11.99
dental assistant ,0.0,TX,RENT,20000,36,7.96
distribution associate,5.0,NY,RENT,14400,60,9.92
accounting manager,10.0,TX,MORTGAGE,14400,36,6.72
tree spraying & pruning ,10.0,TX,OWN,20000,60,20.0
hvac tech,7.0,AZ,MORTGAGE,12000,36,10.9
table games dealer,10.0,NM,RENT,14400,36,6.72
,,NY,OWN,20000,36,12.62
logistics ,2.0,TN,RENT,10000,36,6.07
registered nurse ,10.0,NY,RENT,35000,36,14.07
hr consultant/staffing specialist,1.0,NM,MORTGAGE,8000,36,18.06
senior case manager,5.0,FL,RENT,7200,36,10.42
inspector ,4.0,CA,RENT,20000,60,12.61
nurse,10.0,IL,RENT,5000,36,7.97
site superintendent,6.0,NY,RENT,40000,60,11.99
dr reg,5.0,MI,RENT,14000,36,19.03
sales,9.0,NY,RENT,30000,60,26.3
rn,2.0,FL,MORTGAGE,17000,60,9.93
registered nurse,10.0,SC,MORTGAGE,35000,60,21.85
worker in kitchen,10.0,PA,MORTGAGE,10000,36,12.61
avionics technician,3.0,KS,MORTGAGE,30000,36,14.08
sales associate,3.0,NC,OWN,6400,36,6.07
mobile equipment operator,10.0,IN,MORTGAGE,28000,36,12.61
massage therapist,5.0,MA,RENT,7225,36,10.91
analyst,10.0,MD,MORTGAGE,21100,36,13.58
rn,10.0,NJ,MORTGAGE,6175,36,10.9
collection officer ii,10.0,CA,MORTGAGE,6000,36,12.61
site manager,0.0,KS,MORTGAGE,35000,36,7.34
is support,3.0,IL,RENT,5000,36,7.34
school counselor,10.0,AZ,RENT,10000,36,6.72
analyst,10.0,CA,OWN,20000,60,18.45
court reporter,10.0,TX,MORTGAGE,6500,36,6.07
sales representative,10.0,NC,MORTGAGE,12000,36,5.32
phone banker,1.0,ID,MORTGAGE,13500,60,9.43
math teacher,3.0,IL,RENT,15000,36,15.04
senior consultant,6.0,FL,MORTGAGE,36000,36,6.08
relationship manager,1.0,FL,RENT,14000,36,10.91
mep reporting specialist,2.0,NC,MORTGAGE,11200,36,10.41
medical fellow,1.0,IN,MORTGAGE,24000,36,5.32
project manager,10.0,GA,MORTGAGE,12000,36,7.96
associate editor,7.0,MA,RENT,7225,36,10.9
body tech ,5.0,LA,MORTGAGE,6500,36,10.42
border patrol agent,8.0,NY,MORTGAGE,11200,60,26.77
contract manager,1.0,GA,OWN,35000,60,17.09
manager,1.0,MI,MORTGAGE,4000,36,17.47
school crossing guard,4.0,IL,RENT,10000,36,15.05
computer programmer,2.0,UT,MORTGAGE,40000,36,14.07
maintenance ,5.0,NY,RENT,12000,36,11.98
professor,10.0,NY,RENT,6000,36,11.98
driver ,7.0,NC,MORTGAGE,13000,60,16.02
auditor,6.0,GA,MORTGAGE,14400,60,10.9
support manager,9.0,NC,OWN,7000,36,6.72
press operator ,10.0,CA,MORTGAGE,10000,60,16.02
nursing,10.0,CA,RENT,20000,36,10.41
1st grade teacher ,2.0,TN,MORTGAGE,2000,36,13.59
customer service ,0.0,MA,RENT,8425,36,15.05
agent,10.0,MI,MORTGAGE,7000,36,11.99
sales consultant,5.0,RI,MORTGAGE,25000,60,9.92
,,TX,RENT,23100,36,11.98
safety manager,3.0,GA,RENT,10000,36,7.97
nurse,1.0,AR,MORTGAGE,15000,36,11.99
quality supervisor,6.0,NY,OWN,15000,36,7.34
machinist ,4.0,CA,RENT,4200,36,19.42
teacher,10.0,FL,MORTGAGE,18000,60,12.62
coating tech,10.0,TX,MORTGAGE,6000,36,7.96
st john specialist,10.0,VA,RENT,27000,60,11.99
mechanic ,7.0,IL,RENT,12000,36,10.42
real estate broker,10.0,WA,RENT,8000,36,11.99
food service,3.0,NY,RENT,10000,36,19.42
transportation director,10.0,CO,MORTGAGE,30000,60,11.98
teacher,10.0,TX,MORTGAGE,7000,36,6.07
svp,8.0,NY,RENT,20000,36,6.72
engineer,9.0,CA,MORTGAGE,15000,36,6.72
sales manager,10.0,DE,MORTGAGE,15000,60,7.35
senior manager,8.0,OH,MORTGAGE,30850,36,13.59
teacher/coach,5.0,TX,MORTGAGE,15000,36,15.05
engineering project manager,2.0,MO,RENT,40000,36,5.31
executive director,1.0,MD,MORTGAGE,6000,36,9.43
,,SD,OWN,2600,36,9.43
service operations specialist,0.0,CA,RENT,10000,36,9.44
supervisor ,10.0,CO,MORTGAGE,3600,36,20.0
director of construction,10.0,FL,MORTGAGE,27000,60,10.42
cosmetologist colorist,9.0,NY,RENT,3000,36,11.98
sales manager,5.0,GA,RENT,10000,60,20.39
,,NY,RENT,4000,36,9.93
administrator,10.0,OH,MORTGAGE,10000,36,12.61
,,WA,MORTGAGE,3600,36,7.97
construction manager,3.0,MI,OWN,20500,36,9.44
behavioral health unit supervisor,10.0,CA,MORTGAGE,35000,60,14.07
senior collector ,8.0,PA,MORTGAGE,6000,36,10.41
teacher,9.0,FL,RENT,13000,60,13.59
technician,0.0,SC,MORTGAGE,25000,60,14.07
park supervisor 1,10.0,NY,RENT,3500,36,7.97
,,OH,MORTGAGE,25000,60,19.42
project engineer,5.0,CA,RENT,30000,36,9.44
director of nursing assistant,10.0,KY,OWN,13000,60,11.98
signalman,10.0,OH,MORTGAGE,25000,36,7.96
technical information specialist,2.0,WV,MORTGAGE,5000,36,15.04
machinist,7.0,NJ,MORTGAGE,4800,36,9.92
maintenance tech,10.0,CA,RENT,3000,36,12.62
president and ceo,10.0,OK,MORTGAGE,15000,36,18.45
bartender,10.0,NV,MORTGAGE,20000,36,9.43
sales rep,0.0,UT,RENT,15000,60,21.85
medical technologist,2.0,NY,RENT,14500,36,7.97
,,SC,MORTGAGE,12000,36,18.06
,,IL,RENT,20000,36,14.08
radiologist,1.0,NY,RENT,30000,60,18.06
branch manager,2.0,RI,MORTGAGE,10000,36,17.09
server ,6.0,OH,RENT,6000,36,9.93
hts,8.0,OK,OWN,12000,36,11.99
physician assistant,1.0,NY,RENT,16000,60,13.58
account manager ,2.0,NY,RENT,15000,60,10.9
bookkeeper ,3.0,TX,RENT,15000,36,7.97
,,MO,MORTGAGE,9000,36,7.35
life skills intructor,7.0,CT,RENT,1000,36,10.91
teacher,2.0,NJ,OWN,25000,36,13.59
engineer,0.0,OH,RENT,40000,36,7.34
srsupervisor,10.0,NJ,MORTGAGE,12500,36,6.72
patient care liaison/triage tech/lead,5.0,NJ,MORTGAGE,20000,60,10.91
service technician ,0.0,MA,RENT,16500,60,16.02
business analyst,6.0,GA,MORTGAGE,40000,36,10.91
purchasing,10.0,AR,MORTGAGE,1500,36,6.72
pharmacist,2.0,GA,MORTGAGE,10000,60,16.01
foreman,6.0,TX,MORTGAGE,5000,36,10.42
,,CO,RENT,3000,36,21.45
,,NJ,RENT,16000,60,9.93
global project manager,4.0,CA,MORTGAGE,20000,36,5.32
,,AZ,OWN,35000,36,14.08
registered nurse,10.0,MI,MORTGAGE,10000,36,12.61
se,3.0,CA,RENT,10000,36,14.08
president,10.0,FL,MORTGAGE,20000,36,10.91
project manger,10.0,NY,MORTGAGE,10000,36,14.08
technician,4.0,NC,RENT,10800,60,24.85
security ,7.0,IN,OWN,35000,60,14.07
sales,1.0,CA,RENT,21600,60,7.34
engineer,6.0,MI,MORTGAGE,15000,60,12.61
credit directo,10.0,FL,MORTGAGE,30000,36,9.93
senior technical specialist,5.0,NY,RENT,10000,36,13.59
cnc machinist,0.0,PA,MORTGAGE,6000,36,10.41
sales merchandiser,1.0,WV,MORTGAGE,13000,36,19.03
"manager, sales operations",0.0,IL,MORTGAGE,22000,60,9.44
freight coordinator ,3.0,OH,RENT,15000,36,10.9
registered nurse,6.0,NY,RENT,20000,36,9.92
,,TX,OWN,24000,60,10.9
owner,10.0,CA,MORTGAGE,35000,36,13.59
lpn,3.0,NC,RENT,6000,36,9.92
sr research compliance coordinator,4.0,TX,MORTGAGE,14000,36,11.99
,,FL,OWN,20000,36,7.34
property manger,9.0,GA,RENT,16000,36,21.45
early head start teacher,2.0,TX,RENT,4800,36,9.93
nurse practitioner,10.0,MI,MORTGAGE,15000,60,9.44
manager,2.0,PA,MORTGAGE,20000,60,18.06
service manager,7.0,MN,MORTGAGE,8000,36,10.9
stocking ,1.0,TN,RENT,18125,36,13.59
live-in care giver,2.0,SC,MORTGAGE,8000,36,6.71
district manager,10.0,NC,RENT,30000,60,24.85
manager,8.0,CA,RENT,19500,36,6.71
srbusiness system analyst,10.0,TN,MORTGAGE,10000,36,5.31
project coordinator,2.0,CA,MORTGAGE,21000,36,6.71
sales administrator,2.0,WA,RENT,9000,36,11.98
anesthesiologist,2.0,NY,OWN,35000,36,7.35
purchase agent,10.0,CA,OWN,10000,36,6.71
sales,5.0,AR,OWN,15000,36,14.08
owner,10.0,TX,MORTGAGE,13000,60,12.62
manager,10.0,MD,MORTGAGE,35000,36,23.87
health aid,10.0,NY,RENT,10000,36,6.71
nurse practitioner,3.0,VA,OWN,20000,60,16.02
assistant director,10.0,MN,MORTGAGE,20000,60,9.93
warranty administrator ,1.0,IL,RENT,16000,36,7.96
shop foremam,10.0,TX,OWN,3500,36,10.42
aftermarket ,3.0,CO,RENT,4800,36,17.09
fts,10.0,OH,MORTGAGE,7000,36,5.32
credit manager,7.0,TN,RENT,14700,36,10.9
customer service,2.0,CA,OWN,3600,36,7.35
attorney,6.0,MT,MORTGAGE,8000,36,5.31
customer service ,0.0,TN,RENT,5000,36,19.42
teacher,10.0,MI,RENT,1500,36,17.47
marketing ,1.0,FL,MORTGAGE,11000,36,7.96
senior storekeeper,10.0,OH,MORTGAGE,8500,36,15.04
inspection tech,0.0,GA,RENT,7500,36,12.62
specialist,5.0,CO,MORTGAGE,17975,36,5.31
a&d clerk ,5.0,WV,MORTGAGE,8000,36,10.42
postdoctoral researcher ,1.0,CT,RENT,12000,36,7.97
therapist ,3.0,NJ,OWN,18000,36,10.91
glazier ,10.0,NJ,OWN,4000,36,20.39
engineer,1.0,GA,RENT,40000,36,5.32
cardiac sonographer,10.0,CA,MORTGAGE,6000,36,10.91
barista,8.0,AK,RENT,10000,36,12.62
driver,10.0,CA,RENT,30000,36,21.45
administration,2.0,IL,MORTGAGE,4000,36,14.08
,,VA,RENT,5500,36,6.72
accounting ar,10.0,AL,RENT,16000,60,16.01
auto glass technician ,3.0,MI,MORTGAGE,3800,36,7.96
security officer,10.0,MA,RENT,2500,36,7.97
store manager,6.0,TX,RENT,11000,36,18.45
counselor,10.0,TX,MORTGAGE,11875,36,9.93
recruiter ,4.0,MA,MORTGAGE,18000,60,9.93
,,CA,MORTGAGE,11500,36,7.35
area manager,10.0,OK,MORTGAGE,5000,36,10.42
customer delivery director,3.0,TX,MORTGAGE,25000,36,5.31
hr director,5.0,IN,MORTGAGE,20000,36,12.62
military,7.0,MD,MORTGAGE,9000,36,18.45
nursing attendant,3.0,NY,RENT,6000,36,14.07
operation,4.0,WI,MORTGAGE,10000,36,15.05
technical account manager,9.0,CO,OWN,30000,60,17.09
pipelayer/construction laborer,10.0,CA,MORTGAGE,6000,36,7.97
,,CA,RENT,4200,36,10.42
support manager,10.0,SD,RENT,4000,36,9.93
cct,2.0,TX,RENT,10000,36,5.31
construction manager,8.0,NC,MORTGAGE,16000,36,6.07
,,FL,RENT,5000,36,11.99
desk sgt,8.0,MO,MORTGAGE,18000,36,7.35
office manager,10.0,WA,MORTGAGE,40000,36,5.31
cio,10.0,GA,MORTGAGE,25000,36,6.08
barista,3.0,NY,RENT,12000,36,9.92
plating tech,1.0,AZ,RENT,10000,60,25.81
optical manager ,10.0,CA,RENT,14400,36,5.31
"director, quality improvement",9.0,GA,MORTGAGE,40000,36,10.91
service advisor,1.0,CA,RENT,30000,60,20.0
sr teller 3,10.0,AR,OWN,11850,60,9.43
secretary ,2.0,TX,OWN,4800,36,9.44
,,AZ,RENT,10000,36,12.61
welder,1.0,CA,RENT,12000,60,15.05
owner,3.0,CA,MORTGAGE,40000,36,6.08
admin,2.0,NH,RENT,6000,36,9.93
,,CA,MORTGAGE,35000,36,6.08
medical gas verifier,8.0,NH,OWN,15000,36,6.08
sales ,4.0,MO,OWN,14000,36,13.59
hospital police,2.0,NY,RENT,3000,36,17.09
,,OH,MORTGAGE,14400,60,24.85
technician,10.0,TX,MORTGAGE,13000,60,9.93
jewelry consultant,1.0,HI,RENT,10000,60,18.06
operations project analyst,10.0,CA,RENT,25000,60,9.44
supply chain project manager,0.0,NJ,RENT,35000,36,12.61
,,MA,RENT,9600,36,9.93
owner,4.0,NY,MORTGAGE,12000,36,15.04
radiology tech,6.0,PA,RENT,20000,36,13.58
packing,10.0,SD,RENT,10000,36,17.47
offset printing operator,5.0,NY,OWN,4000,36,13.59
sports & recreation director,10.0,CA,RENT,24000,60,19.42
manager,3.0,MA,MORTGAGE,9100,36,5.32
,,CA,MORTGAGE,12000,36,7.34
,,FL,OWN,12500,36,6.07
corporate recruiter,2.0,MN,RENT,30000,60,10.9
police officer,10.0,HI,MORTGAGE,30000,60,26.77
firefighter,10.0,IL,MORTGAGE,10000,60,9.93
management,4.0,NY,MORTGAGE,12000,36,6.72
,,OH,MORTGAGE,15000,36,10.91
sr operations analyst,4.0,WA,RENT,12000,36,7.96
dentist,2.0,FL,RENT,35000,36,10.91
owner,10.0,OH,RENT,13000,36,18.06
office manager,0.0,KS,OWN,8000,36,16.02
stocker,10.0,OH,MORTGAGE,8000,36,9.44
,,NM,OWN,26000,36,19.03
dental hygienist,3.0,NJ,RENT,21000,36,6.71
electronic technician ,10.0,VA,MORTGAGE,18400,60,19.03
field tech ,4.0,CA,RENT,4550,36,10.91
rn,5.0,IL,OWN,25000,60,19.03
artistic associate,8.0,CT,RENT,20000,60,11.99
foreman,0.0,AZ,MORTGAGE,4000,36,10.91
car inspector,6.0,NJ,RENT,24000,60,9.92
director,10.0,CA,MORTGAGE,24000,60,9.92
territory manager,3.0,CA,RENT,10000,36,14.07
it manager,10.0,WA,MORTGAGE,21000,60,10.42
product specialist,10.0,WI,MORTGAGE,12000,60,11.99
teachers aide,10.0,NY,RENT,3000,36,12.62
application analyst,5.0,CO,OWN,15000,36,6.08
attorney,10.0,CA,OWN,15000,36,5.32
branch manager,1.0,IL,RENT,16000,60,11.99
clinical supervisor/behavior analyst,5.0,CA,RENT,30000,36,10.9
accountant,4.0,PA,OWN,16000,60,10.42
,,CA,MORTGAGE,30000,60,11.98
,,FL,OWN,6000,36,10.91
marketing supervisor ,5.0,NY,RENT,25000,36,6.71
vp of sales,10.0,MD,MORTGAGE,25000,60,15.05
pharmacy manager,5.0,FL,MORTGAGE,25000,60,12.61
cep,5.0,MD,RENT,12000,36,10.91
musician,10.0,RI,RENT,7500,36,14.07
production scheduler,7.0,NH,MORTGAGE,8900,36,7.35
,,NJ,MORTGAGE,25000,36,7.97
property manager,10.0,CA,RENT,28800,36,10.91
faculty,3.0,SC,MORTGAGE,14500,60,26.77
owner,9.0,FL,RENT,10000,36,6.71
operator,2.0,NY,OWN,30000,36,10.41
owner,9.0,AL,MORTGAGE,39825,36,7.96
teacher,10.0,CA,MORTGAGE,16000,36,10.91
property adjuster,10.0,CA,RENT,12000,60,19.03
teacher,10.0,FL,MORTGAGE,8500,36,6.07
sales person,2.0,VA,RENT,12000,60,14.08
supervisor ,10.0,OH,RENT,11000,36,16.01
product manager,3.0,OK,MORTGAGE,18000,36,10.91
security gard,2.0,FL,RENT,2000,36,11.99
director of sales operations,7.0,IL,MORTGAGE,28000,60,17.47
warehouse supervisor,10.0,IL,MORTGAGE,5000,36,6.08
,,MD,MORTGAGE,35000,36,20.39
,,NY,OWN,13000,60,11.99
distribution manager,6.0,MO,MORTGAGE,24000,60,26.77
bank regulator,10.0,TX,MORTGAGE,35000,36,9.92
tax manager,5.0,CO,MORTGAGE,17000,60,11.99
foreman/supervisor,4.0,MI,MORTGAGE,35000,60,18.45
,,KY,RENT,24000,60,19.03
manager,10.0,NY,OWN,10000,36,21.45
registered nurse mgr,10.0,CA,OWN,37800,60,9.43
head caretaker ,7.0,NY,MORTGAGE,5500,36,10.41
senior director of operations ,0.0,TX,RENT,15000,36,12.61
police officer,10.0,OH,RENT,30000,60,12.62
senior team leader,10.0,AL,RENT,10000,36,13.58
driver,1.0,CA,MORTGAGE,24000,60,9.43
executive assistant,4.0,NY,RENT,30000,36,19.03
"loan administrator, avp",1.0,LA,MORTGAGE,24000,36,10.91
network administrator,4.0,AZ,MORTGAGE,10000,36,9.44
community housing coordinator,10.0,OH,RENT,11200,36,18.06
social worker ,4.0,AL,RENT,4000,36,7.34
administrative assistant,5.0,NV,MORTGAGE,29000,60,17.47
preschool teacher,0.0,OH,MORTGAGE,32000,60,12.62
,,GA,RENT,7500,36,9.92
systems engineer,4.0,TN,MORTGAGE,30000,60,7.97
student services coordinator,4.0,NM,RENT,30000,60,14.08
stocker,10.0,TN,RENT,15000,60,19.03
creative director,3.0,NY,OWN,25000,60,11.99
aircraft mechsnic,10.0,TX,MORTGAGE,13500,36,10.41
manager,8.0,NE,MORTGAGE,20000,36,14.08
correctional officer,10.0,OK,MORTGAGE,1500,36,21.45
customer service,3.0,CA,MORTGAGE,10000,36,14.08
professor assistant,9.0,IN,RENT,3000,36,13.59
